id,wav,duration,gt,npu,blank,gt_len,npu_len,edit_dist,cer
0,ko_test_0000.wav,10.45,몬터규는 자녀들이 사랑을 제대로 못 받고 크면 매우 심각한 결과가 초래된다는 결론을 내렸습니다,뭔⁇ 그는 사⁇들이 사,67,40,7,36,90.0
1,ko_test_0001.wav,20.45,차 문이 종잇장처럼 얇지 않으니 문 두께 스물 센티미터를 빼면 실제 승 하차 여유 공간은 스물 센티미터라는 계산이 나옵니다,⁇처럼 야지⁇ 아니니니 조 문 두게.,61,50,12,46,92.0
2,ko_test_0002.wav,8.54,지난해 이들 크루즈관광객의 평균 체류기간은 오 쩜 구 사 시간,지나⁇는 이들⁇르주 관광장 계에,63,25,12,20,80.0
3,ko_test_0003.wav,16.64,그리고 이 나무는 태즈메이니아 남부 지역에 부는 남극의 바람을 맞으면서도 또한 해안에 위치한 산간 지방의 안개가 많은 환경에서도 무성하게 자랍니다,⁇ 이 나는 테지즈에.,67,62,7,57,91.94
4,ko_test_0004.wav,8.16,평소 오전 아홉 시 에서 오후 일곱 시까지 일하면 하루 이 만원 정도를 번다,편수 오전. 아홉 시에서,68,29,9,22,75.86
5,ko_test_0005.wav,13.55,박준영 돈 안 되는 공익사건 남들 다 박수쳐주는 사건은 제가 하고 당신네들은 사무실 운영해야 되니까 돈 버는 사건 당신네들이 해라,아 그냥 형 돈 안 되는 공익⁇,68,53,10,48,90.57
6,ko_test_0006.wav,8.93,야권은 여당에서 분명한 입장을 표해야 한다고 연일 압박 수위를 높이고 있다,⁇⁇는 여⁇⁇ 분명⁇ 입자,66,31,6,27,87.1
7,ko_test_0007.wav,11.56,독일을 보호하기 위하여 회스는 약 이백 만 명의 인명을 앗아 가는 일을 지휘하였는데 그중 대부분이 유대인이었습니다,⁇기를⁇ 보호⁇기 위하요. 왜.,61,48,9,43,89.58
8,ko_test_0008.wav,9.22,젠슨 황은 엔비디아에서 매출의 삼십 퍼센트 이상을 연구개발에 투자한다,제⁇슨학학은 V디⁇ 이.,63,30,8,27,90.0
9,ko_test_0009.wav,14.59,이번에 발견된 화석은 에우노토사우르스처럼 등딱지 배딱지가 없지만 등뼈 가슴뼈 등 골격구조는 오돈토켈리스를 닮았다,⁇ 발견 된. 화석은 에.,66,50,7,43,86.0
10,ko_test_0010.wav,8.51,몽둥이와 함께 변 씨의 가게에선 쇠 파이프와 곡괭이 자루까지 발견됐습니다,목둥 이 함께⁇시에 가.,67,31,8,26,83.87
11,ko_test_0011.wav,10.37,하지만 싫증 나면 버리면 그만이라는 식의 사고방식은 단지 물건에만 영향을 미치는 데서 그치지 않습니다,⁇지만 말 실지 나면면⁇리면면,66,43,11,38,88.37
12,ko_test_0012.wav,16.31,업계 관계자는 가격이 오르면 지상파 삼 사는 연간 천 이백 억원 추가 수익을 올린다면서 그 부담은 이용자에게 고스란히 넘어갈 수밖에 없다고 토로했다,어깨 없지 관계기 자인 가격이이 오.,64,61,14,57,93.44
13,ko_test_0013.wav,14.57,지난달 사 일 고서점가인 도쿄의 간다진보 정 한국 서적 전문 북카페 책거리에서는 미생의 일본 팬들이 모임을 가졌다,지는들 사 일 일 고⁇⁇.,65,47,7,43,91.49
14,ko_test_0014.wav,10.96,경기 성남중원은 새누리당에서 십 칠 십 팔 대 국회의원을 지낸 신상진 당협위원장이 후보로 꼽힌다,변기⁇⁇ 중⁇ 세누이⁇.,65,40,6,36,90.0
15,ko_test_0015.wav,11.9,이날 박창진 사무장은 내 지인으로부터 메신저 연락이 왔는데 나에 대한 찌라시가 돌고 있다고 한다고 전했다,이⁇ 막 잘진인⁇모⁇은,65,44,7,41,93.18
16,ko_test_0016.wav,11.74,국내 경기가 여전히 침체된 상태에서 금리마저 올라가면 경기 회복 국면에 찬물을 끼얹을 수도 있다는 진단이다,국내 내⁇기가 여⁇이 침체 내,65,45,10,38,84.44
17,ko_test_0017.wav,10.65,애플 입장에선 이천 십 이 년 맥북 프로 레티나 버전 이후 처음으로 맥북 디자인을 확 바꿨다,에⁇⁇ 예 이찬,70,36,4,34,94.44
18,ko_test_0018.wav,11.82,임화섭 특파원 미국 내브래스카주 오마하의 동물원에 만취한 여성이 몰래 들어갔다가 호랑이에 물렸다,이 말⁇ 특 파 원 미국 내,68,42,8,36,85.71
19,ko_test_0019.wav,10.54,지금은 대통령한테 줄을 대서 당선을 해보겠다 이런 이미지를 주는 경향이 없지 않다고 생각합니다,지금은 대통 형한테 줄을 돼서.,64,40,12,30,75.0
