dataset,group,samples,ptq_uint8_kl_cer,qat_ailab_ep13_cer,qat_ailab_final_cer,qat_aihub_100k_cer
7F_KSK,real,108,21.20,,,3.29
modelhouse_2m_noheater,real,51,7.49,,,4.21
012.상담음성,aihub,3000,10.03,,,7.86
7F_HJY,real,107,15.64,,,8.60
modelhouse_2m,real,51,16.14,,,8.80
eval_other,aihub,3000,13.30,,,11.00
eval_clean,aihub,3000,16.01,,,12.10
007.저음질,aihub,3000,19.01,,,12.54
009.한국어_강의,aihub,3000,15.66,,,13.03
010.회의음성,aihub,3000,15.29,,,13.79
modelhouse_3m,real,51,21.73,,,14.70
AVG_aihub,aihub,18000,14.88,,,11.72
AVG_real,real,368,16.44,,,7.92
AVG_all,all,18368,15.59,,,9.99
,,,,,
unseen_7F_HJY,real,13,10.3,11.1,12.0,
unseen_7F_KSK,real,11,18.9,3.8,3.8,
unseen_modelhouse_2m,real,3,13.6,9.1,9.1,
unseen_modelhouse_noheater,real,5,13.2,3.8,3.8,
unseen_modelhouse_3m,real,6,9.7,3.2,3.2,
unseen_AVG,real,38,13.3,6.4,6.7,5.3
